ID_origen;L_ORIGEM;ID_DESTINO;L_DESTINO;DISTANCIA;TEMPO
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santana;Estação Santana - Rua Doutor César  Santana  Sao Paulo - São Paulo  Brazil;8811;6643
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao jardim-sao-paulo;Jardim São Paulo-ayrton Senna  Jardim São Paulo  Sao Paulo - São Paulo  Brazil;10678;8072
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao parada-inglesa;Parada Inglesa  Sao Paulo - São Paulo  Brazil;11442;8672
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tucuruvi;Tucuruvi  Vila Gustavo  Sao Paulo - São Paulo  Brazil;12786;9828
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao vila-prudente;Vila Prudente  Sao Paulo - São Paulo  Brazil;9646;7541
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao tamanduatei;Tamanduatei  Vila Independência  Sao Paulo - São Paulo  Brazil;8667;6595
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao sacoma;Estação Sacomâ de Metrô - Rua Greenfeld  Sacomã  Sao Paulo - São Paulo  Brazil;7586;5747
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao alto-ipiranga;Alto Do Ipiranga  Vila Dom Pedro I  Sao Paulo - São Paulo  Brazil;6507;4935
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao santos-imigrantes;Santos-imigrantes  Vila Firmiano Pinto  Sao Paulo - São Paulo  Brazil;5205;3860
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao chacara-klabin;Chácara Klabin  Jardim Vila Mariana  Sao Paulo - São Paulo  Brazil;4239;3194
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao brigadeiro;Estação Brigadeiro de Metro  São Paulo  Brazil;1028;842
AFF255;Alameda Campinas, 708 - Jardim Paulista, São Paulo - SP, 01404-200;estaçao trianon-masp;Trianon-masp  São Paulo  Brazil;587;509
